,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[ 21 170],[ 21 152],[0.605484],0.726,0,33.66187050359712,7,88,4679,20.381724000000002,5.546762589928058
Spine: 1,0,[ 48 193],[ 48 221],[0.7797240000000001],2.508,0,46.25698324022346,9,122,8280,36.06768,4.418994413407821
Spine: 2,0,[ 52 155],[ 43 106],[0.627264],3.167101998972922,0,42.09027777777778,7,121,6061,26.401716000000004,3.0833333333333335
Spine: 3,0,[ 60 167],[ 56 144],[0.514008],3.4275099948646077,0,44.313559322033896,7,137,5229,22.777524000000003,6.271186440677966
Spine: 4,0,[ 66 195],[ 71 229],[0.7710120000000001],3.5143126601618357,0,32.70056497175141,7,104,5788,25.212528000000002,5.3107344632768365
Spine: 5,0,[ 82 194],[ 89 232],[0.7492320000000001],4.915454541658464,0,37.122093023255815,7,99,6385,27.813060000000004,10.267441860465116
Spine: 6,0,[ 85 165],[ 81 149],[0.44866800000000007],5.096665850526146,0,68.79611650485437,7,164,7086,30.866616000000004,7.368932038834951
Spine: 7,0,[136 162],[138 141],[0.60984],8.287870405440266,0,41.52142857142857,10,108,5813,25.321428000000004,6.507142857142857
Spine: 8,0,[127 186],[123 214],[0.8450640000000001],8.320615575371818,0,58.94845360824742,11,170,11436,49.81521600000001,4.814432989690721
Spine: 9,0,[140 190],[135 223],[0.7579440000000001],8.779047954413532,0,48.87356321839081,8,141,8504,37.043424,3.925287356321839
Spine: 10,0,[173 198],[173 246],[0.6534000000000001],12.00782048235558,0,39.72,6,109,5958,25.953048000000003,3.38
Spine: 11,0,[193 150],[178 111],[0.6577560000000001],12.686877946644884,0,41.87417218543046,7,126,6323,27.542988000000005,3.0463576158940397
Spine: 12,0,[219 178],[219 200],[0.7884360000000001],13.951585335586211,0,106.12707182320442,14,226,19209,83.67440400000001,6.071823204419889
Spine: 13,0,[223 150],[223 116],[0.9496080000000001],14.21558533558621,0,39.362385321100916,6,97,8581,37.37883600000001,4.041284403669724
Spine: 14,0,[250 159],[253 135],[0.5662800000000001],15.918226036068733,0,79.44615384615385,16,177,10328,44.98876800000001,7.092307692307692
Spine: 15,0,[265 188],[273 212],[0.644688],17.08576091323654,0,59.148648648648646,10,161,8754,38.13242400000001,4.858108108108108
Spine: 16,0,[271 161],[274 134],[0.7230960000000001],17.353717820164448,0,61.80120481927711,12,141,10259,44.688204000000006,6.403614457831325
Spine: 17,0,[285 187],[285 213],[0.5662800000000001],18.410719905608065,0,69.97692307692307,13,170,9097,39.626532000000005,5.2384615384615385
Spine: 18,0,[296 185],[296 207],[0.6882480000000001],19.13671990560806,0,71.34810126582279,13,191,11273,49.105188000000005,5.7215189873417724
Spine: 19,0,[306 156],[309 124],[0.662112],20.07226150099162,0,37.44736842105263,5,132,5692,24.794352000000003,6.355263157894737
Spine: 20,0,[320 163],[320 143],[0.701316],20.737899492790017,0,52.93167701863354,11,181,8522,37.121832000000005,19.937888198757765
Spine: 21,0,[326 147],[326  95],[0.5662800000000001],21.133899492790018,0,32.97692307692308,8,105,4287,18.674172000000002,3.9076923076923076
Spine: 22,0,[363 185],[370 211],[0.8058600000000001],23.389938833751366,0,55.22162162162162,6,150,10216,44.500896000000004,4.7405405405405405
Spine: 23,0,[358 155],[349 123],[0.6534000000000001],23.616583764266704,0,38.29333333333334,7,114,5744,25.020864000000003,5.773333333333333
Spine: 24,0,[403 133],[383  88],[0.6185520000000001],27.115860826488433,0,32.105633802816904,5,87,4559,19.859004000000002,3.591549295774648
Spine: 25,0,[411 138],[397 107],[0.7971480000000001],27.46432763036229,0,27.25136612021858,7,75,4987,21.723372,6.475409836065574
Spine: 26,0,[434 182],[460 242],[0.6490440000000001],27.672067455748635,0,30.073825503355703,4,97,4481,19.519236000000003,2.791946308724832
Spine: 27,0,[430 130],[414 105],[0.622908],28.963333855734984,0,44.51748251748252,6,131,6366,27.730296000000003,5.405594405594406
Spine: 28,0,[462 117],[453  97],[0.7274520000000001],31.111836313096365,0,75.58682634730539,14,145,12623,54.98578800000001,6.892215568862276
